Multilayer Perceptron,Initials,Interaction,Fold,Accuracy,Precision,Recall,F1,Execution time,Initial Date/Hour,Final Date/Hour
Extra Trees,ET,1,1,0.6285714285714286,0.6680417621594091,0.5294007952831482,0.5448677302440342,0h:20m:38s,Sun Jul 18 23:38:24 2021,Sun Jul 18 23:59:03 2021
Gradient Tree Boosting,GTB,1,1,0.6285714285714286,0.5652441240676535,0.5214383655560125,0.5283326868034514,0h:22m:9s,Sun Jul 18 23:59:03 2021,Mon Jul 19 00:21:12 2021
k-Nearest Neighbors,KNN,1,1,0.5904761904761905,0.5222043865225683,0.5373632250102838,0.5240484106628307,0h:6m:8s,Mon Jul 19 00:21:12 2021,Mon Jul 19 00:27:20 2021
Logistic Regression,LR,1,1,0.6761904761904762,0.6018866160577391,0.5985808309337721,0.5925494175494175,0h:43m:1s,Mon Jul 19 00:27:20 2021,Mon Jul 19 01:10:21 2021
Multilayer Perceptron,MLP,1,1,0.6666666666666666,0.6020469850015305,0.5790744549568079,0.5745032745032744,0h:12m:26s,Mon Jul 19 01:10:21 2021,Mon Jul 19 01:22:48 2021
Multinomial Naive Bayes,MNB,1,1,0.6285714285714286,0.5574183392365211,0.6093774852598381,0.5515512265512266,0h:4m:26s,Mon Jul 19 01:22:48 2021,Mon Jul 19 01:27:14 2021
Passive Aggressive,PA,1,1,0.638095238095238,0.5426623106930012,0.5527163033045386,0.5436116714226761,0h:8m:24s,Mon Jul 19 01:27:14 2021,Mon Jul 19 01:35:38 2021
Random Forest,RF,1,1,0.6285714285714286,0.6341991341991341,0.5082778006307418,0.5168811849446547,0h:17m:36s,Mon Jul 19 01:43:57 2021,Mon Jul 19 02:01:34 2021
Stochastic Gradient Descent,SGD,1,1,0.638095238095238,0.6634089372426086,0.568188674071027,0.5705681464504994,0h:14m:21s,Mon Jul 19 02:01:34 2021,Mon Jul 19 02:15:55 2021
Support Vector Machine,SVM,1,1,0.6476190476190476,0.5602093798281147,0.5113081036610448,0.507103027691263,0h:7m:44s,Mon Jul 19 02:15:55 2021,Mon Jul 19 02:23:40 2021
Extra Trees,ET,1,2,0.6190476190476191,0.5966958480116376,0.5079514603044015,0.5306117530716462,0h:21m:38s,Mon Jul 19 02:23:40 2021,Mon Jul 19 02:45:19 2021
Gradient Tree Boosting,GTB,1,2,0.6285714285714286,0.4909762252008241,0.48228301110654054,0.4741310165038979,0h:34m:17s,Mon Jul 19 02:45:19 2021,Mon Jul 19 03:19:37 2021
k-Nearest Neighbors,KNN,1,2,0.638095238095238,0.5716079375170284,0.6331866173042644,0.5897444801188118,0h:7m:2s,Mon Jul 19 03:19:37 2021,Mon Jul 19 03:26:39 2021
Logistic Regression,LR,1,2,0.6285714285714286,0.5844811753902662,0.5714575620457973,0.562616310892173,0h:35m:47s,Mon Jul 19 03:26:39 2021,Mon Jul 19 04:02:27 2021
Multilayer Perceptron,MLP,1,2,0.638095238095238,0.6144628099173555,0.5969957493486905,0.5791430208971439,0h:14m:33s,Mon Jul 19 04:02:27 2021,Mon Jul 19 04:17:01 2021
Multinomial Naive Bayes,MNB,1,2,0.6,0.542028767429837,0.6141190182366653,0.5495262313444133,0h:4m:12s,Mon Jul 19 04:17:01 2021,Mon Jul 19 04:21:14 2021
Passive Aggressive,PA,1,2,0.6476190476190476,0.5660525011568656,0.5845111750994104,0.569988724309017,0h:8m:22s,Mon Jul 19 04:21:14 2021,Mon Jul 19 04:29:36 2021
Random Forest,RF,1,2,0.580952380952381,0.580737859882245,0.4099424105306459,0.44946205755029284,0h:18m:13s,Mon Jul 19 04:38:27 2021,Mon Jul 19 04:56:41 2021
Stochastic Gradient Descent,SGD,1,2,0.6285714285714286,0.5743949232585596,0.6183381324557795,0.5828598062709774,0h:14m:19s,Mon Jul 19 04:56:41 2021,Mon Jul 19 05:11:01 2021
Support Vector Machine,SVM,1,2,0.6,0.5849769190678282,0.5297463320992732,0.5348140129665057,0h:7m:35s,Mon Jul 19 05:11:01 2021,Mon Jul 19 05:18:36 2021
Extra Trees,ET,1,3,0.6666666666666666,0.5938620656324006,0.529965720553956,0.5470531159172134,0h:16m:14s,Mon Jul 19 05:18:36 2021,Mon Jul 19 05:34:51 2021
Gradient Tree Boosting,GTB,1,3,0.5523809523809524,0.5895691696427693,0.4075784999314411,0.4334446334446334,0h:59m:31s,Mon Jul 19 05:34:51 2021,Mon Jul 19 06:34:22 2021
k-Nearest Neighbors,KNN,1,3,0.6190476190476191,0.6092592592592593,0.5727766351295762,0.5559779480832113,0h:6m:24s,Mon Jul 19 06:34:22 2021,Mon Jul 19 06:40:47 2021
