Algorithm,f1-score Macro,Fold,Splits,Interactions,Execution time,Initial Date/Hour,Final Date/Hour,Params
Extra Trees,57%,1,10,150,0h:20m:38s,Sun Jul 18 23:38:24 2021,Sun Jul 18 23:59:03 2021,"OrderedDict([('criterion', 'gini'), ('max_depth', 95), ('max_features', 'sqrt'), ('max_leaf_nodes', 150), ('max_samples', 0.01), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 1100), ('warm_start', False)])"
Gradient Tree Boosting,48%,1,10,150,0h:22m:9s,Sun Jul 18 23:59:03 2021,Mon Jul 19 00:21:12 2021,"OrderedDict([('criterion', 'mse'), ('learning_rate', 0.1), ('loss', 'deviance'), ('max_depth', 150), ('max_features', 'sqrt'), ('max_leaf_nodes', 50), ('min_samples_leaf', 1), ('min_samples_split', 20), ('n_estimators', 1000), ('n_iter_no_change', 10), ('tol', 0.001), ('validation_fraction', 0.2), ('warm_start', True)])"
k-Nearest Neighbors,54%,1,10,150,0h:6m:8s,Mon Jul 19 00:21:12 2021,Mon Jul 19 00:27:20 2021,"OrderedDict([('algorithm', 'brute'), ('leaf_size', 17), ('metric', 'euclidean'), ('n_jobs', -1), ('n_neighbors', 2), ('p', 2), ('weights', 'distance')])"
Logistic Regression,65%,1,10,150,0h:43m:1s,Mon Jul 19 00:27:20 2021,Mon Jul 19 01:10:21 2021,"OrderedDict([('C', 10.0), ('fit_intercept', False), ('max_iter', 1079), ('multi_class', 'auto'), ('n_jobs', -1), ('penalty', 'none'), ('solver', 'saga'), ('tol', 1e-05), ('warm_start', False)])"
Multilayer Perceptron,57%,1,10,150,0h:12m:26s,Mon Jul 19 01:10:21 2021,Mon Jul 19 01:22:48 2021,"OrderedDict([('activation', 'tanh'), ('batch_size', 32), ('early_stopping', True), ('hidden_layer_sizes', 110), ('learning_rate_init', 0.02655623528695071), ('max_iter', 500), ('n_iter_no_change', 10), ('solver', 'adam'), ('tol', 0.001), ('validation_fraction', 0.1), ('warm_start', False)])"
Multinomial Naive Bayes,59%,1,10,150,0h:4m:26s,Mon Jul 19 01:22:48 2021,Mon Jul 19 01:27:14 2021,"OrderedDict([('alpha', 0.09933524803126068), ('fit_prior', False)])"
Passive Aggressive,61%,1,10,150,0h:8m:24s,Mon Jul 19 01:27:14 2021,Mon Jul 19 01:35:38 2021,"OrderedDict([('C', 7.310713471558487), ('early_stopping', True), ('fit_intercept', False), ('loss', 'hinge'), ('max_iter', 1000), ('n_iter_no_change', 10), ('n_jobs', -1), ('tol', 0.001), ('validation_fraction', 0.1), ('warm_start', True)])"
Random Forest,54%,1,10,150,0h:17m:36s,Mon Jul 19 01:43:57 2021,Mon Jul 19 02:01:34 2021,"OrderedDict([('criterion', 'gini'), ('max_depth', 150), ('max_features', 'log2'), ('max_leaf_nodes', 150), ('max_samples', 0.9), ('min_samples_leaf', 1), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 543), ('n_jobs', -1), ('warm_start', True)])"
Stochastic Gradient Descent,62%,1,10,150,0h:14m:21s,Mon Jul 19 02:01:34 2021,Mon Jul 19 02:15:55 2021,"OrderedDict([('alpha', 0.0009452802170917128), ('average', False), ('early_stopping', True), ('epsilon', 0.8938454530502226), ('eta0', 5.714644429346527), ('fit_intercept', True), ('l1_ratio', 0.9857534101792086), ('learning_rate', 'optimal'), ('loss', 'modified_huber'), ('max_iter', 500), ('n_iter_no_change', 10), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.026068654639314973), ('shuffle', True), ('tol', 0.0005221373256582054), ('validation_fraction', 0.11593204169981003), ('warm_start', True)])"
Support Vector Machine,61%,1,10,150,0h:7m:44s,Mon Jul 19 02:15:55 2021,Mon Jul 19 02:23:40 2021,"OrderedDict([('C', 10.0), ('cache_size', 500), ('decision_function_shape', 'ovo'), ('degree', 2), ('gamma', 'auto'), ('kernel', 'linear'), ('probability', True), ('shrinking', True), ('tol', 0.001)])"
